training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
44;3;29;1057;15;27032;-15;-15
44;4;36;573;20;39692;-20;-20
44;5;39;678;25;34148;-25;-25
44;6;28;359;13;49192;-13;-13
44;7;37;154;25;36820;-25;-25
44;8;17;1482;11;15968;-11;-11
44;9;18;788;11;36404;-11;-11
44;10;17;901;18;30520;-18;-18
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
45;1;27;184;31;46892;-31;-31
45;2;32;158;24;50220;-24;-24
45;3;44;182;30;47636;-30;-30
45;4;27;168;26;49140;-26;-26
45;5;44;317;34;41080;-34;-34
45;6;23;89;16;56284;-16;-16
45;7;30;157;25;50216;-25;-25
45;8;35;226;36;43248;-36;-36
45;9;31;154;26;49708;-26;-26
45;10;30;199;31;46204;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
46;1;13;132;26;51164;-26;-26
46;2;32;167;28;48776;-28;-28
46;3;31;173;32;47288;-32;-32
46;4;21;399;24;43432;-24;-24
46;5;31;129;25;33040;-25;-25
46;6;26;122;22;52936;-22;-22
46;7;18;1023;18;27404;-18;-18
46;8;30;180;30;47400;-30;-30
46;9;24;146;27;50148;-27;-27
46;10;18;1662;8;11660;-8;-8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
47;1;32;317;25;45532;-25;-25
47;2;36;543;25;38452;-25;-25
47;3;35;190;29;44888;-29;-29
47;4;35;430;23;42668;-23;-23
47;5;40;644;28;33380;-28;-28
47;6;18;327;20;47488;-20;-20
47;7;11;1378;10;19772;-10;-10
47;8;33;156;26;37548;-26;-26
47;9;24;155;24;46360;-24;-24
47;10;33;217;27;47756;-27;-27
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
48;1;26;1225;17;21560;-17;-17
48;2;14;1482;10;16428;-10;-10
48;3;20;1196;11;24684;-11;-11
48;4;26;1055;13;27820;-13;-13
48;5;19;1577;14;12164;-14;-14
48;6;36;208;20;50348;-20;-20
48;7;9;1568;5;15956;-5;-5
48;8;13;1621;6;14340;-6;-6
48;9;8;1598;5;13356;-5;-5
48;10;28;771;18;34720;-18;-18
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;7;2041;3;2348;-3;-3
49;2;11;1980;3;4104;-3;-3
49;3;8;2026;3;2900;-3;-3
49;4;3;2103;1;1420;-1;-1
49;5;14;1868;4;5304;-4;-4
49;6;17;1838;6;7284;-6;-6
49;7;16;1597;7;14564;-7;-7
49;8;4;1993;2;4556;-2;-2
49;9;15;1561;6;15608;-6;-6
49;10;28;1528;9;15268;-9;-9
